Estimulo;C1;C2;C3;C4;C5
0;26623351.40986,512817977.563838,26.489986,149.138722;10779164.158648,360678537.911595,27.278606,124.856274;14962853.211738,407551671.742034,27.152017,133.115617;16649374.196991,365342649.272769,26.701422,125.576192;16194486.120463,396876593.164075,26.747722,130.695498
0;26623351.868548,512817986.953953,26.489986,149.138723;10779164.644305,360678546.807766,27.278606,124.856276;14962853.781029,407551681.354688,27.152017,133.115618;16649374.742962,365342659.108735,26.701423,125.576195;16194486.653035,396876603.009959,26.747723,130.695501
0;26623351.912307,512817994.075485,26.489986,149.138725;10779164.686084,360678552.56546,27.278606,124.856277;14962853.851472,407551686.951741,27.152017,133.11562;16649374.892973,365342687.189688,26.701425,125.576204;16194486.809343,396876631.370803,26.747725,130.69551
0;26623352.248126,512818000.096173,26.489987,149.138726;10779164.977342,360678557.308063,27.278607,124.856278;14962854.212485,407551690.734475,27.152018,133.115621;16649375.483689,365342720.503303,26.701427,125.576213;16194487.379638,396876664.907533,26.747726,130.695518
0;26623352.315328,512818003.334678,26.489987,149.138728;10779165.028957,360678560.126003,27.278607,124.85628;14962854.270078,407551693.738175,27.152018,133.115622;16649375.606714,365342736.322755,26.701431,125.576228;16194487.500816,396876680.810922,26.74773,130.695533
0;26623352.492436,512818011.857709,26.489987,149.13873;10779165.212164,360678567.268882,27.278607,124.856281;14962854.436354,407551700.766132,27.152018,133.115624;16649375.856447,365342766.153499,26.701433,125.576238;16194487.744546,396876710.511151,26.747732,130.695542
0;26623352.549076,512818018.53105,26.489988,149.138732;10779165.260998,360678572.120024,27.278608,124.856283;14962854.532259,407551705.534832,27.152018,133.115625;16649376.069899,365342807.280637,26.701438,125.576254;16194487.965068,396876751.797295,26.747737,130.695558
0;26623352.597185,512818025.465937,26.489988,149.138733;10779165.318259,360678578.140994,27.278608,124.856284;14962854.599867,407551710.788554,27.152018,133.115626;16649376.156954,365342822.526109,26.701439,125.576258;16194488.059495,396876766.931553,26.747737,130.695561
0;26623399.644105,512820481.08967,26.489996,149.139076;10779168.159159,360678592.48368,27.278608,124.856288;14962856.046755,407551723.181235,27.152019,133.115628;16649646.240501,365377164.858262,26.705035,125.588225;16196476.840577,396931642.001317,26.748851,130.706188
0;26624101.797751,512886760.582224,26.49027,149.148686;10779174.049672,360679029.857996,27.27861,124.856367;14962878.630395,407552495.237601,27.15201,133.115731;16652208.673393,365392813.477803,26.704695,125.590668;16200527.484506,396946721.106587,26.74851,130.708688
0;26624208.737583,512888617.814574,26.490262,149.148944;10779242.88334,360681886.361006,27.278784,124.857292;14963958.937694,407562500.985648,27.151943,133.117376;16656837.01287,365428369.024739,26.704704,125.597615;16201986.57462,396970292.574299,26.748627,130.712699
0;26624268.362265,512889651.588464,26.490256,149.149095;10779323.935008,360683025.260437,27.278775,124.857492;14964509.134944,407570201.878371,27.151931,133.118568;16667020.920341,365532921.339376,26.70315,125.613066;16203475.393655,397028773.719075,26.748356,130.721115
0;26624410.640925,512890542.301794,26.490242,149.149204;10779482.006368,360683965.955125,27.278752,124.857629;14964650.666806,407572562.027747,27.151934,133.118934;16667729.549948,365539624.005422,26.703175,125.614452;16204722.814618,397034263.294583,26.74835,130.722311
0;26624410.796633,512890548.64157,26.490243,149.149205;10779482.146429,360683971.092998,27.278753,124.857631;14964650.773185,407572576.888341,27.151934,133.118937;16667729.616522,365539642.705403,26.703177,125.614459;16204722.94416,397034284.091938,26.748351,130.722319
0;26624410.880824,512890555.089456,26.490243,149.149207;10779482.224503,360683975.916106,27.278753,124.857633;14964650.814836,407572583.126009,27.151934,133.118939;16667729.699409,365539675.103909,26.703179,125.614469;16204723.033924,397034318.241748,26.748354,130.722329
0;26624411.111209,512890562.034327,26.490244,149.149209;10779482.384339,360683980.357571,27.278754,124.857634;14964650.861506,407572587.975654,27.151935,133.118941;16667730.100135,365539703.912746,26.703183,125.614482;16204723.473378,397034348.588103,26.748357,130.722342
0;26624411.42354,512890570.617294,26.490244,149.149211;10779482.547294,360683984.84202,27.278754,124.857635;14964650.8807,407572589.894005,27.151935,133.118941;16667730.206668,365539708.229906,26.703184,125.614484;16204723.57554,397034353.26978,26.748358,130.722344
0;26624412.307754,512890580.790441,26.490244,149.149213;10779482.922907,360683991.634253,27.278754,124.857637;14964650.934533,407572595.436798,27.151935,133.118942;16667730.370192,365539737.267385,26.703186,125.614493;16204723.758871,397034383.581332,26.74836,130.722354
0;26624412.434261,512890590.481967,26.490244,149.149215;10779483.070298,360683999.535935,27.278754,124.857639;14964651.281319,407572621.290197,27.151935,133.118946;16667730.533996,365539758.711679,26.703188,125.614502;16204723.933689,397034405.725379,26.748362,130.722362
0;26624412.637688,512890595.237133,26.490245,149.149216;10779483.266734,360684003.144291,27.278754,124.85764;14964651.360254,407572629.078439,27.151935,133.118948;16667730.608275,365539783.289089,26.703191,125.614513;16204724.00118,397034431.078353,26.748365,130.722373
